lng,lat
-67.5778,-39.0451
-67.08733,-39.10342
-67.588811,-39.036711
-67.09223,-39.09949
-67.56781,-39.03705
-67.57999,-39.03559
-67.0861319916,-39.0987909443
-67.2316337841,-39.0705677472
-67.573775,-39.030326
-67.0847613828,-39.0934786175
-67.56884,-39.02999
-67.5696253181,-39.0293824076
-67.57574,-39.02851
-67.57656,-39.02825
-67.5832992196,-39.0277009208
-67.5587999225,-39.0273987907
-65.34016,-41.60158
-67.586,-39.0196
-67.8311827184,-38.9830954632
-67.8228585721,-38.9793716163
-67.8352088935,-38.9756383985
-67.82993,-38.96982
-68.050244093,-38.968916276
-68.05966,-38.969
-67.9211815597,-38.9561358941
-68.03689,-38.96191
-67.9271843434,-38.9526484183
-68.039444,-38.959167
-68.05082,-38.95934
-68.058932,-38.958858
-68.0788,-38.95929
-68.0925,-38.9596
-67.98271,-38.94926
-68.0664,-38.9562
-67.99217,-38.94856
-68.03139,-38.95107
-68.0624,-38.95351
-68.07539,-38.95083
-68.08955,-38.95066
-68.097274,-38.951165
-68.05743,-38.94622
-68.07468,-38.94778
-67.98992,-38.94045
-68.00194,-38.94125
-68.11157,-38.9507
-68.08462,-38.94749
-67.989,-38.9387
-68.11744,-38.94895
-67.9874963777,-38.9359173635
-68.06446909,-38.942149918
-68.110433,-38.94682
-65.08824,-40.80777
-67.99613,-38.93567
-68.10196,-38.94466
-67.984142,-38.931847
-68.22889,-38.9571
-68.2449026124,-38.9567069243
-68.11735,-38.93956
-68.074,-38.93301
-68.0839358561,-38.9257176041
-68.23141,-38.93988
-68.06397,-38.82925
-64.94911,-40.74101
-68.07058,-38.82896
-68.1205140352,-38.8312350581
-68.0694968717,-38.8240173319
-68.0692609549,-38.8237210686
-68.129965156,-38.8286775489
-68.1392769815,-38.8290218989
-68.1243807971,-38.8273360736
-68.14441,-38.82733
-68.139291644,-38.8248152016
-68.1505971551,-38.8257011946
-66.145773411,-39.1645935723
-65.7049148084,-39.4221331656
-65.7621402747,-39.311137921
-65.6598002927,-39.292649332
-65.6606961505,-39.2919767634
-65.64777,-39.29944
-69.22045,-38.94454
-69.21067,-38.9304
-69.23309,-38.93402
-69.2478125097,-38.9353511732
-71.296792,-41.136201
-71.29829,-41.13814
-71.30168,-41.14
-71.30874,-41.13545
-70.0610032977,-38.9044669932
-70.06733,-38.90739
-71.319144,-41.160853
-65.04419,-42.76981
-65.048586,-42.775492
-65.039,-42.7683
-65.035411,-42.766295
-70.07384,-38.89891
-70.06664,-38.89284
-71.06918,-39.95196
-65.03735,-42.78041
-65.033057,-42.784698
-71.36172,-41.13137
-71.43181,-41.10923
-71.3565,-40.15838
-71.37765,-40.1769
-65.49149,-43.3005
-65.34977,-43.25524
-65.329062,-43.258861
-65.32222,-43.25658
-65.30917,-43.25039
-65.309592,-43.251438
-65.305489,-43.257504
-65.290951,-43.249033
-65.30158,-43.26608
-65.29282,-43.26308
-65.2797,-43.2648
-71.66039,-40.78314
-71.50589,-41.99012
-71.5155,-41.97991
-67.84058,-37.91387
-67.7988195419,-37.8833217522
-65.10459,-43.3027
-65.05033,-43.31893
-71.60277,-42.0657
-71.30256,-42.91209
-71.31964,-42.91234
-71.3226,-42.91495
-64.0993672012,-38.9949216524
-64.09913,-38.98905
-71.45851,-43.08318
-63.0052,-40.8148
-63.00303,-40.81634
-62.9884,-40.81547
-62.984272,-40.824867
-62.97805,-40.79919
-68.92685,-37.42144
-62.6202456951,-39.914635975
-62.6852213145,-39.5058469749
-62.6137433056,-39.2583330835
-64.6007595064,-37.3787292747
-62.6959487201,-38.8279545762
-63.5378220677,-37.6690152095
-62.3923487653,-38.7206811592
-69.06864,-45.58545
-62.2658774332,-38.7829903852
-62.2998,-38.7185
-62.3028,-38.7055
-62.2895,-38.7225
